brand,product,specific,hue,sat,lightness,undertone
Anastasia Beverly Hills,Luminous Foundation,110C,34.28571429,0.411764706,0.9,cool
Anastasia Beverly Hills,Luminous Foundation,120W,31.38461538,0.670103093,0.809803922,warm
Anastasia Beverly Hills,Luminous Foundation,150W,31.26760563,0.689320388,0.798039216,warm
Anastasia Beverly Hills,Luminous Foundation,160C,32.72727273,0.454545455,0.762745098,cool
Anastasia Beverly Hills,Luminous Foundation,200W,32.36842105,0.678571429,0.780392157,warm
Anastasia Beverly Hills,Luminous Foundation,250C,32.30769231,0.481481481,0.682352941,cool
Anastasia Beverly Hills,Luminous Foundation,270C,34.48275862,0.502890173,0.660784314,cool
Anastasia Beverly Hills,Luminous Foundation,300C,33.40909091,0.488888889,0.647058824,cool
Anastasia Beverly Hills,Luminous Foundation,310C,31.91489362,0.474747475,0.611764706,cool
Anastasia Beverly Hills,Luminous Foundation,290C,35,0.516129032,0.635294118,warm
Anastasia Beverly Hills,Luminous Foundation,330W,26.11764706,0.361702128,0.539215686,warm
Anastasia Beverly Hills,Luminous Foundation,332C,33.26086957,0.4,0.549019608,cool
Anastasia Beverly Hills,Luminous Foundation,335W,25.81395349,0.358333333,0.529411765,warm
Anastasia Beverly Hills,Luminous Foundation,340C,25.83333333,0.310344828,0.454901961,cool
Anastasia Beverly Hills,Luminous Foundation,345C,26.59090909,0.35483871,0.51372549,cool
Anastasia Beverly Hills,Luminous Foundation,365C,27.27272727,0.396396396,0.435294118,cool
Anastasia Beverly Hills,Luminous Foundation,370W,26.37362637,0.448275862,0.398039216,warm
Anastasia Beverly Hills,Luminous Foundation,420C,27.34177215,0.451428571,0.343137255,cool
Anastasia Beverly Hills,Luminous Foundation,430W,25.80645161,0.502702703,0.362745098,warm
Anastasia Beverly Hills,Luminous Foundation,440C,27.34177215,0.478787879,0.323529412,cool
Anastasia Beverly Hills,Luminous Foundation,470C,25.71428571,0.546099291,0.276470588,cool
Anastasia Beverly Hills,Luminous Foundation,500C,23.07692308,0.503875969,0.252941176,cool
Anastasia Beverly Hills,Luminous Foundation,510W,18.82352941,0.443478261,0.225490196,warm
Anastasia Beverly Hills,Luminous Foundation,540W,15,0.440677966,0.231372549,warm
